,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles
2752,1043482,CHEMBL638174,CHEMBL338468,LogD,,=,1.13,CHEMBL2362975,,The lipophilicity was measured in an octanol/water system at pH 7.4.,P,CCN(CC)CCNC(=O)c1ccc(OC)c(I)c1
2772,1057031,CHEMBL635127,CHEMBL354295,LogD,,=,-0.8,CHEMBL2362975,,Octanol/water distribution coefficient at pH 3,P,C[C@@H](NCc1cc(I)cc2nc(O)c(O)nc12)P(=O)(O)O
2773,1057032,CHEMBL635128,CHEMBL354295,LogD,,=,-1.2,CHEMBL2362975,,Octanol/water distribution coefficient at pH 4,P,C[C@@H](NCc1cc(I)cc2nc(O)c(O)nc12)P(=O)(O)O
2774,1057033,CHEMBL635129,CHEMBL354295,LogD,,=,-1.5,CHEMBL2362975,,Octanol/water distribution coefficient at pH 4.8,P,C[C@@H](NCc1cc(I)cc2nc(O)c(O)nc12)P(=O)(O)O
2775,1057034,CHEMBL635130,CHEMBL354295,LogD,,=,-1.6,CHEMBL2362975,,Octanol/water distribution coefficient at pH 5.5,P,C[C@@H](NCc1cc(I)cc2nc(O)c(O)nc12)P(=O)(O)O
2776,1057035,CHEMBL635131,CHEMBL354295,LogD,,=,-1.7,CHEMBL2362975,,Octanol/water distribution coefficient at pH 6.5,P,C[C@@H](NCc1cc(I)cc2nc(O)c(O)nc12)P(=O)(O)O
2777,1057036,CHEMBL635133,CHEMBL354295,LogD,,=,-1.8,CHEMBL2362975,,Octanol/water distribution coefficient at pH 7.5,P,C[C@@H](NCc1cc(I)cc2nc(O)c(O)nc12)P(=O)(O)O
2778,1057037,CHEMBL635132,CHEMBL354295,LogD,,=,-2.5,CHEMBL2362975,,Octanol/water distribution coefficient at pH 7.4,P,C[C@@H](NCc1cc(I)cc2nc(O)c(O)nc12)P(=O)(O)O
2783,1063606,CHEMBL638174,CHEMBL339009,LogD,,=,1.16,CHEMBL2362975,,The lipophilicity was measured in an octanol/water system at pH 7.4.,P,CCN(CC)CCNC(=O)c1cc(OC)ccc1I
2785,1064797,CHEMBL638174,CHEMBL129642,LogD,,=,1.62,CHEMBL2362975,,The lipophilicity was measured in an octanol/water system at pH 7.4.,P,CCN(CC)CCNC(=O)c1cc(I)c(N)cc1OC
2790,1069896,CHEMBL643271,CHEMBL146585,LogD,,=,-1.08,CHEMBL2362975,,"Octanol buffer partition coefficient for 0.1M, at pH 7.6 in phosphate buffer",P,CC(C)CCOC[n+]1ccn(C)c1/C=N/O.[Cl-]
